,PV804880_Eulimnogammarus_marituji_S_AmspA1_COI_EmaritujiLAmspY20_EmaS,PV804881_Eulimnogammarus_marituji_S_AmspA2_COI_EmaritujiLAmspY20_EmaS,PV804886_Eulimnogammarus_marituji_C_AmspA14_COI_EmaritujiLUy15_EmaC,PV804888_Eulimnogammarus_marituji_C_AmspA97_COI_EmaritujiLUy15_EmaC,PV804894_Eulimnogammarus_marituji_C_GRA3_COI_EmaritujiLUy15_EmaC,PV804899_Eulimnogammarus_marituji_C_BolR2_COI_EmaritujiLUy15_EmaC,PV804924_Eulimnogammarus_marituji_C_Uy15_COI_EmaritujiLUy15_EmaC,PV804925_Eulimnogammarus_marituji_C_Uy16_COI_EmaritujiLUy15_EmaC,PV804926_Eulimnogammarus_marituji_C_Uy17_COI_EmaritujiLUy15_EmaC,PV804921_Eulimnogammarus_marituji_C_Uy12_COI_EmaritujiLUy15_EmaC,PV804922_Eulimnogammarus_marituji_C_Uy13_COI_EmaritujiLUy15_EmaC,PV804938_Eulimnogammarus_marituji_C_Ya2_1_COI_EmaritujiLUy15_EmaC,PV804889_Eulimnogammarus_marituji_C_AmspA163_COI_EmaritujiLUy15_EmaC,PV804941_Eulimnogammarus_marituji_C_Ya7_1_COI_EmaritujiLUy15_EmaC,PV804901_Eulimnogammarus_marituji_C_BolR4_COI_EmaritujiLUy15_EmaC,PV804939_Eulimnogammarus_marituji_C_Ya3_COI_EmaritujiLUy15_EmaC,PV804923_Eulimnogammarus_marituji_C_Uy14_COI_EmaritujiLUy15_EmaC,PV804943_Eulimnogammarus_marituji_C_Ya8_2_COI_EmaritujiLUy15_EmaC,PV804900_Eulimnogammarus_marituji_C_BolR3_COI_EmaritujiLUy15_EmaC,PV804892_Eulimnogammarus_marituji_C_Amspa166_COI_EmaritujiLUy15_EmaC,PV804898_Eulimnogammarus_marituji_C_BolR1_COI_EmaritujiLUy15_EmaC,PV804942_Eulimnogammarus_marituji_C_Ya7_2_COI_EmaritujiLUy15_EmaC,PV804940_Eulimnogammarus_marituji_C_Ya4_COI_EmaritujiLUy15_EmaC,PV804891_Eulimnogammarus_marituji_C_Amspa165_COI_EmaritujiLUy15_EmaC,PV804946_Eulimnogammarus_marituji_C_W247_COI_EmaritujiLUy15_EmaC,PV804902_Eulimnogammarus_marituji_W_EmaritL1_COI_EmaritujiL5_EmaW,PV804918_Eulimnogammarus_marituji_W_EmarL3_COI_EmaritujiL5_EmaW,PV804913_Eulimnogammarus_marituji_W_EmarL8_COI_EmaritujiL5_EmaW,PV804916_Eulimnogammarus_marituji_W_EmarL5_COI_EmaritujiL5_EmaW,PV804910_Eulimnogammarus_marituji_W_EmarL11_COI_EmaritujiL5_EmaW,PV804906_Eulimnogammarus_marituji_W_BK_COI_EmaritujiL5_EmaW,PV804909_Eulimnogammarus_marituji_W_EmarL12_COI_EmaritujiL5_EmaW,PV804911_Eulimnogammarus_marituji_W_EmarL10_COI_EmaritujiL5_EmaW,PV804915_Eulimnogammarus_marituji_W_EmarL6_COI_EmaritujiL5_EmaW,PV804919_Eulimnogammarus_marituji_W_EmarL2_COI_EmaritujiL5_EmaW,PV804905_Eulimnogammarus_marituji_W_MRBK9_COI_EmaritujiL5_EmaW,PV804914_Eulimnogammarus_marituji_W_EmarL7_COI_EmaritujiL5_EmaW,PV804912_Eulimnogammarus_marituji_W_EmarL9_COI_EmaritujiL5_EmaW,PV804904_Eulimnogammarus_marituji_W_LorBK_COI_EmaritujiL5_EmaW,PV804917_Eulimnogammarus_marituji_W_EmarL4_COI_EmaritujiL5_EmaW,PV804903_Eulimnogammarus_marituji_W_EmarBK_COI_EmaritujiL5_EmaW,PV804920_Eulimnogammarus_marituji_W_EmarL1_COI_EmaritujiL5_EmaW,PV804928_Eulimnogammarus_marituji_W_AmspY10_COI_EmaritujiL5_EmaW,PV804929_Eulimnogammarus_marituji_W_AmspY11_COI_EmaritujiL5_EmaW,PV804932_Eulimnogammarus_marituji_W_AmspY14_COI_EmaritujiL5_EmaW,PV804895_Eulimnogammarus_marituji_S_GRA4_COI_EmaritujiLAmspY20_EmaS,PV804931_Eulimnogammarus_marituji_S_AmspY13_COI_EmaritujiLAmspY20_EmaS,PV804887_Eulimnogammarus_marituji_S_AmspA15_COI_EmaritujiLAmspY20_EmaS,PV804934_Eulimnogammarus_marituji_S_AmspY16_COI_EmaritujiLAmspY20_EmaS,PV804936_Eulimnogammarus_marituji_S_AmspY19_COI_EmaritujiLAmspY20_EmaS,PV804927_Eulimnogammarus_marituji_S_AmspY9_COI_EmaritujiLAmspY20_EmaS,PV804933_Eulimnogammarus_marituji_S_AmspY15_COI_EmaritujiLAmspY20_EmaS,PV804937_Eulimnogammarus_marituji_S_AmspY20_COI_EmaritujiLAmspY20_EmaS,PV804893_Eulimnogammarus_marituji_S_GRA1_COI_EmaritujiLAmspY20_EmaS,PV804907_Eulimnogammarus_marituji_S_MR1PB_COI_EmaritujiLAmspY20_EmaS,PV804883_Eulimnogammarus_marituji_S_AmspA6_COI_EmaritujiLAmspY20_EmaS,PV804882_Eulimnogammarus_marituji_S_AmspA5_COI_EmaritujiLAmspY20_EmaS,PV804885_Eulimnogammarus_marituji_S_AmspA12_COI_EmaritujiLAmspY20_EmaS,PV804930_Eulimnogammarus_marituji_S_AmspY12_COI_EmaritujiLAmspY20_EmaS,PV804884_Eulimnogammarus_marituji_S_AmspA11_COI_EmaritujiLAmspY20_EmaS,PV804897_Eulimnogammarus_marituji_S_GRA6_COI_EmaritujiLAmspY20_EmaS,PV804896_Eulimnogammarus_marituji_S_GRA5_COI_EmaritujiLAmspY20_EmaS,PV804908_Eulimnogammarus_marituji_S_MR2PB_COI_EmaritujiLAmspY20_EmaS
PV804880_Eulimnogammarus_marituji_S_AmspA1_COI_EmaritujiLAmspY20_EmaS,0,0.0000029952,0.1121641122,0.1163006368,0.1142358678,0.1183963874,0.1142246198,0.1142338812,0.1142308027,0.1142318938,0.1142518078,0.1121746536,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1190901230,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0892323514,0.0892442551,0.0892420356,0.0871326715,0.0913717424,0.0850265687,0.0871328637,0.0829205529,0.0020817796,0.0020872052,0.0020893906,0.0020819546,0.0020819546,0.0020777527,0.0042310714,0.0042310714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PV804881_Eulimnogammarus_marituji_S_AmspA2_COI_EmaritujiLAmspY20_EmaS,0.0000029952,0,0.1121631138,0.1162996384,0.1142348694,0.1183953890,0.1142236214,0.1142328828,0.1142298043,0.1142308954,0.1142508094,0.1121736552,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1128234363,0.1190891246,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0871336699,0.0892313530,0.0892432567,0.0892410372,0.0871316731,0.0913707440,0.0850255703,0.0871318653,0.0829195545,0.0020807812,0.0020862068,0.0020903890,0.0020829530,0.0020829530,0.0020787511,0.0042320698,0.0042320698,0.0000029952,0.0000029952,0.0000029952,0.0000029952,0.0000029952,0.0000029952,0.0000029952,0.0000029952,0.0000029952,0.0000029952,
PV804886_Eulimnogammarus_marituji_C_AmspA14_COI_EmaritujiLUy15_EmaC,0.1121641122,0.1121631138,0,0.0082496302,0.0061848612,0.0103453808,0.0061736132,0.0061828746,0.0061797961,0.0061808872,0.0062008012,0.0041236470,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0104470867,0.0167127750,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0818614431,0.0839591262,0.0839710299,0.0839688104,0.0818594463,0.0860985172,0.0797533435,0.0818596385,0.0776473277,0.1100843294,0.1142453270,0.1142515060,0.1142440700,0.1142440700,0.1142398681,0.1163931868,0.1163931868,0.1121641122,0.1121641122,0.1121641122,0.1121641122,0.1121641122,0.1121641122,0.1121641122,0.1121641122,0.1121641122,0.1121641122,
PV804888_Eulimnogammarus_marituji_C_AmspA97_COI_EmaritujiLUy15_EmaC,0.1163006368,0.1162996384,0.0082496302,0,0.0020667658,0.0062292822,0.0061827350,0.0061939932,0.0061909147,0.0061940026,0.0062159134,0.0082581748,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0145836113,0.0208492996,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0859979677,0.0880956508,0.0881075545,0.0881053350,0.0859959709,0.0902350418,0.0838898681,0.0859961631,0.0817838523,0.1142208540,0.1183818516,0.1183880306,0.1183805946,0.1183805946,0.1183763927,0.1205297114,0.1205297114,0.1163006368,0.1163006368,0.1163006368,0.1163006368,0.1163006368,0.1163006368,0.1163006368,0.1163006368,0.1163006368,0.1163006368,
PV804894_Eulimnogammarus_marituji_C_GRA3_COI_EmaritujiLUy15_EmaC,0.1142358678,0.1142348694,0.0061848612,0.0020667658,0,0.0041645132,0.0041179660,0.0041292242,0.0041261457,0.0041292336,0.0041511444,0.0061934058,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0125188423,0.0187845306,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0839331987,0.0860308818,0.0860427855,0.0860405660,0.0839312019,0.0881702728,0.0818250991,0.0839313941,0.0797190833,0.1121560850,0.1163170826,0.1163232616,0.1163158256,0.1163158256,0.1163116237,0.1184649424,0.1184649424,0.1142358678,0.1142358678,0.1142358678,0.1142358678,0.1142358678,0.1142358678,0.1142358678,0.1142358678,0.1142358678,0.1142358678,
PV804899_Eulimnogammarus_marituji_C_BolR2_COI_EmaritujiLUy15_EmaC,0.1183963874,0.1183953890,0.0103453808,0.0062292822,0.0041645132,0,0.0082784856,0.0082897438,0.0082866653,0.0082897532,0.0083116640,0.0103539254,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0166793619,0.0229450502,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0880937183,0.0901914014,0.0902033051,0.0902010856,0.0880917215,0.0923307924,0.0859856187,0.0880919137,0.0838796029,0.1163166046,0.1204776022,0.1204837812,0.1204763452,0.1204763452,0.1204721433,0.1226254620,0.1226254620,0.1183963874,0.1183963874,0.1183963874,0.1183963874,0.1183963874,0.1183963874,0.1183963874,0.1183963874,0.1183963874,0.1183963874,
PV804924_Eulimnogammarus_marituji_C_Uy15_COI_EmaritujiLUy15_EmaC,0.1142246198,0.1142236214,0.0061736132,0.0061827350,0.0041179660,0.0082784856,0,0.0041179762,0.0041148977,0.0041179856,0.0041398964,0.0061821578,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0125075943,0.0187732826,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0839219507,0.0860196338,0.0860315375,0.0860293180,0.0839199539,0.0881590248,0.0818138511,0.0839201461,0.0797078353,0.1121448370,0.1163058346,0.1163120136,0.1163045776,0.1163045776,0.1163003757,0.1184536944,0.1184536944,0.1142246198,0.1142246198,0.1142246198,0.1142246198,0.1142246198,0.1142246198,0.1142246198,0.1142246198,0.1142246198,0.1142246198,
PV804925_Eulimnogammarus_marituji_C_Uy16_COI_EmaritujiLUy15_EmaC,0.1142338812,0.1142328828,0.0061828746,0.0061939932,0.0041292242,0.0082897438,0.0041179762,0,0.0041221623,0.0041272470,0.0041491578,0.0061914192,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0125168557,0.0187825440,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0839312121,0.0860288952,0.0860407989,0.0860385794,0.0839292153,0.0881682862,0.0818231125,0.0839294075,0.0797170967,0.1121540984,0.1163150960,0.1163212750,0.1163138390,0.1163138390,0.1163096371,0.1184629558,0.1184629558,0.1142338812,0.1142338812,0.1142338812,0.1142338812,0.1142338812,0.1142338812,0.1142338812,0.1142338812,0.1142338812,0.1142338812,
PV804926_Eulimnogammarus_marituji_C_Uy17_COI_EmaritujiLUy15_EmaC,0.1142308027,0.1142298043,0.0061797961,0.0061909147,0.0041261457,0.0082866653,0.0041148977,0.0041221623,0,0.0041241685,0.0041460793,0.0061883407,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0125137772,0.0187794655,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0839281336,0.0860258167,0.0860377204,0.0860355009,0.0839261368,0.0881652077,0.0818200340,0.0839263290,0.0797140182,0.1121510199,0.1163120175,0.1163181965,0.1163107605,0.1163107605,0.1163065586,0.1184598773,0.1184598773,0.1142308027,0.1142308027,0.1142308027,0.1142308027,0.1142308027,0.1142308027,0.1142308027,0.1142308027,0.1142308027,0.1142308027,
PV804921_Eulimnogammarus_marituji_C_Uy12_COI_EmaritujiLUy15_EmaC,0.1142318938,0.1142308954,0.0061808872,0.0061940026,0.0041292336,0.0082897532,0.0041179856,0.0041272470,0.0041241685,0,0.0041471704,0.0061894318,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0125148683,0.0187805566,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0839292247,0.0860269078,0.0860388115,0.0860365920,0.0839272279,0.0881662988,0.0818211251,0.0839274201,0.0797151093,0.1121521110,0.1163131086,0.1163192876,0.1163118516,0.1163118516,0.1163076497,0.1184609684,0.1184609684,0.1142318938,0.1142318938,0.1142318938,0.1142318938,0.1142318938,0.1142318938,0.1142318938,0.1142318938,0.1142318938,0.1142318938,
PV804922_Eulimnogammarus_marituji_C_Uy13_COI_EmaritujiLUy15_EmaC,0.1142518078,0.1142508094,0.0062008012,0.0062159134,0.0041511444,0.0083116640,0.0041398964,0.0041491578,0.0041460793,0.0041471704,0,0.0062093458,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0188004706,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0860468218,0.0860587255,0.0860565060,0.0839471419,0.0881862128,0.0818410391,0.0839473341,0.0797350233,0.1121720250,0.1163330226,0.1163392016,0.1163317656,0.1163317656,0.1163275637,0.1184808824,0.1184808824,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,
PV804938_Eulimnogammarus_marituji_C_Ya2_1_COI_EmaritujiLUy15_EmaC,0.1121746536,0.1121736552,0.0041236470,0.0082581748,0.0061934058,0.0103539254,0.0061821578,0.0061914192,0.0061883407,0.0061894318,0.0062093458,0,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0167233164,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0839696676,0.0839815713,0.0839793518,0.0818699877,0.0861090586,0.0797638849,0.0818701799,0.0776578691,0.1100948708,0.1142558684,0.1142620474,0.1142546114,0.1142546114,0.1142504095,0.1164037282,0.1164037282,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,
PV804889_Eulimnogammarus_marituji_C_AmspA163_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804941_Eulimnogammarus_marituji_C_Ya7_1_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804901_Eulimnogammarus_marituji_C_BolR4_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804939_Eulimnogammarus_marituji_C_Ya3_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804923_Eulimnogammarus_marituji_C_Uy14_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
